country_iso3,country_name,year,indicator_key,indicator_code,indicator_name,value,source,missing
SGP,Singapore,2021,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",4.640000,WorldBank,0
SGP,Singapore,2022,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",3.591000,WorldBank,0
SGP,Singapore,2023,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",3.444000,WorldBank,0
SGP,Singapore,2024,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",3.182000,WorldBank,0
SGP,Singapore,2025,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",,WorldBank,1
SGP,Singapore,2026,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",,WorldBank,1
SGP,Singapore,2020,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),7.830273,WorldBank,0
SGP,Singapore,2021,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),-5.119737,WorldBank,0
SGP,Singapore,2022,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
SGP,Singapore,2023,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
SGP,Singapore,2024,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
SGP,Singapore,2025,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
SGP,Singapore,2026,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
ARE,United Arab Emirates,2020,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-8.693426,WorldBank,0
ARE,United Arab Emirates,2021,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),4.552786,WorldBank,0
ARE,United Arab Emirates,2022,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),7.514484,WorldBank,0
ARE,United Arab Emirates,2023,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),4.301182,WorldBank,0
ARE,United Arab Emirates,2024,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),3.991807,WorldBank,0
ARE,United Arab Emirates,2025,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,WorldBank,1
ARE,United Arab Emirates,2026,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,WorldBank,1
ARE,United Arab Emirates,2020,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",-2.079403,WorldBank,0
ARE,United Arab Emirates,2021,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",0.179935,WorldBank,0
ARE,United Arab Emirates,2022,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",5.291226,WorldBank,0
ARE,United Arab Emirates,2023,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1.626708,WorldBank,0
ARE,United Arab Emirates,2024,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1.663365,WorldBank,0
ARE,United Arab Emirates,2025,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",,WorldBank,1
ARE,United Arab Emirates,2026,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",,WorldBank,1
ARE,United Arab Emirates,2020,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",4.294000,WorldBank,0
ARE,United Arab Emirates,2021,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",3.105000,WorldBank,0
ARE,United Arab Emirates,2022,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",2.872000,WorldBank,0
ARE,United Arab Emirates,2023,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",2.151000,WorldBank,0
ARE,United Arab Emirates,2024,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",2.133000,WorldBank,0
ARE,United Arab Emirates,2025,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",,WorldBank,1
ARE,United Arab Emirates,2026,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",,WorldBank,1
ARE,United Arab Emirates,2020,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
ARE,United Arab Emirates,2021,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
ARE,United Arab Emirates,2022,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
